kelime,aciklama
Acceptance test,Yazılımın kullanıcı gereksinimlerini karşılayıp karşılamadığını kontrol eder.
Agile,Yazılım geliştirmede esnek- iteratif ve kullanıcı odaklı yaklaşım.
Scrum,Agile metodolojisinin belirli kurallar içeren versiyonudur.
Sprint,Scrum'da belirli bir süre zarfında tamamlanması gereken işlerin planlandığı döngüdür.
Backlog,Gelecekte yapılacak işlerin sıralandığı listedir.
Kanban,İş akışını görselleştiren ve takip etmeyi kolaylaştıran yönetim sistemidir.
User story,Kullanıcı ihtiyaçlarını tanımlayan kısa açıklamalardır.
Story point,İşlerin zorluk derecesini gösteren puanlama sistemidir.
Burndown chart,Tamamlanan işlerin zaman içindeki grafiğini gösterir.
Retrospective,Sprint sonunda yapılan değerlendirme toplantısıdır.
Daily stand-up,Kısa günlük ekip toplantısıdır.
Product owner,Ürün vizyonunu tanımlayan ve önceliklendiren kişidir.
Scrum master,Scrum süreçlerinin sağlıklı yürütülmesini sağlayan kişidir.
Team velocity,Ekiplerin bir sprintte gerçekleştirdiği iş miktarıdır.
Code review,Kodun başka bir geliştirici tarafından kontrol edilme sürecidir.
Pair programming,İki yazılımcının aynı kod üzerinde birlikte çalışmasıdır.
Codebase,Projenin tüm kaynak kodlarını kapsayan yapıdır.
Hotfix,Acil olarak yapılan hata düzeltme işlemidir.
Patch,Küçük çaplı yazılım güncellemesi veya düzeltmesidir.
Release,Belirli bir versiyonun kullanıcıya sunulmasıdır.
Rollback,Yeni versiyonda sorun çıkması durumunda eski sürüme dönüş işlemidir.
Feature flag,Yazılım özelliğini canlıda açıp kapatmaya yarayan sistemdir.
Changelog,Bir yazılım sürümündeki değişikliklerin listelendiği dosyadır.
README,Bir projenin amacı kullanımı ve kurulumu hakkında bilgi veren dosyadır.
LICENSE,Bir yazılımın kullanım şartlarını belirten dosyadır.
CLI tool,Komut satırı üzerinden çalışan yardımcı araçlardır.
REPL,Kodun anlık yazılıp çalıştırıldığı etkileşimli ortamdır.
Interactive shell,Kullanıcının anlık komutlar verebildiği komut satırı ortamı.
Context manager,"with" ifadesiyle açılan ve kaynak yönetimi sağlayan yapı.
List comprehension,Python'da hızlı ve kısa liste üretme yapısıdır.
Generator,Yüksek bellek verimliliği sağlayan iteratif yapı.
Decorator (Python),Fonksiyonlara dinamik özellikler ekleyen yapılardır.
Lambda function,İsimsiz (anonim) küçük fonksiyonlardır.
Map,Yinelenebilir bir dizideki her öğeye fonksiyon uygulayan yapı.
Filter,Belirli koşula uyan elemanları seçen yapıdır.
Reduce,Listedeki tüm elemanları birleştirerek tek bir değer üretir.
Zip,İki veya daha fazla listeyi paralel olarak birleştiren yapı.
Enumerate,Listenin hem indeksini hem elemanını birlikte elde etmemizi sağlar.
Iterable,Yinelenebilir veri yapısıdır (örneğin: liste- sözlük).
Iterator,Iterable veri yapıları üzerinde gezinmek için kullanılan nesnedir.
Duck typing,"Eğer ördek gibi yürüyorsa ördektir" mantığında tip kontrolüdür.
Polymorphism,Aynı isimli fonksiyonların farklı şekillerde çalışabilmesi.
Encapsulation,Veriyi ve işlemleri bir sınıf içerisinde gizleyerek koruma.
Abstraction,Gereksiz detayları gizleyip önemli bilgileri ön plana çıkarma.
Inheritance,Bir sınıfın başka bir sınıftan özellik devralması.
Composition,Bir nesnenin başka nesneleri içermesi yoluyla davranış kazanması.
Metaclass,Sınıf üretmek için kullanılan sınıflardır.
Cloud computing,İnternet üzerinden sunucu- depolama ve hizmetlere erişim sağlayan teknoloji.
IaaS,Infrastructure as a Service; altyapı hizmetlerinin bulut üzerinden sağlanmasıdır.
PaaS,Platform as a Service; uygulama geliştirme platformunun bulut üzerinden sunulmasıdır.
SaaS,Software as a Service; yazılımların bulut üzerinden hizmet olarak sunulmasıdır.
Virtual machine,Fiziksel bir makine üzerinde çalışan sanal bilgisayardır.
Container,İzolasyon sağlayarak uygulamaları bağımlılıklarıyla birlikte çalıştıran yapılardır.
Docker,Uygulamaları container içinde çalıştırmak için kullanılan platformdur.
Kubernetes,Container’ların orkestrasyonunu ve yönetimini sağlayan sistemdir.
Helm,Kubernetes üzerinde uygulamaları yönetmek için kullanılan paket yöneticisidir.
Pod,Kubernetes içinde bir veya daha fazla container’ın birlikte çalıştığı birimdir.
Node,Kubernetes kümesinde çalışan fiziksel veya sanal makinedir.
Cluster,Birden fazla sunucudan oluşan ve birlikte çalışan sistem grubudur.
YAML,Yapılandırma dosyalarında sık kullanılan- okunabilir veri biçimidir.
Terraform,Altyapının kod ile yönetilmesini sağlayan bir araçtır.
Ansible,Yapılandırma yönetimi ve otomasyon için kullanılan yazılım aracıdır.
CI/CD,Sürekli entegrasyon ve sürekli dağıtım süreçlerini ifade eder.
GitLab CI,GitLab üzerinde CI/CD süreçlerinin yönetilmesini sağlayan sistemdir.
Jenkins,Otomatikleştirilmiş yazılım süreçlerini yöneten açık kaynaklı CI/CD aracıdır.
Artifact,Derleme sonrası üretilen ve dağıtılacak dosyalardır.
Pipeline,Koddan üretime kadar tüm otomasyon adımlarının tanımlandığı süreç zinciridir.
Environment,Uygulamanın çalıştığı ortam (dev- staging- production vb.).
Secrets,Yazılımda kullanılan API anahtarları veya şifre gibi gizli bilgiler.
Hashicorp,DevOps araçlarıyla bilinen yazılım şirketi (örnek: Terraform- Vault).
Vault,Hassas bilgileri güvenli bir şekilde depolamak için kullanılan araçtır.
Monitoring,Sistem ve uygulamaların anlık izlenmesi sürecidir.
Observability,Sistemin içsel durumunu dışardan anlamayı kolaylaştıran genel izleme yaklaşımıdır.
Prometheus,Kubernetes ortamlarında yaygın olarak kullanılan izleme sistemidir.
Grafana,Verileri görselleştirme ve izleme aracı olarak kullanılan platformdur.
Alerting,Sistemsel durumlara göre uyarı gönderen bildirim sistemidir.
Log,Programın çalışması sırasında oluşturulan olay kayıtlarıdır.
Log aggregation,Birden fazla kaynaktan log verilerini birleştirme sürecidir.
ElasticSearch,Log ve metin tabanlı verilerin aranıp analiz edilmesini sağlayan veri tabanı sistemidir.
Kibana,ElasticSearch loglarının görselleştirilmesini sağlayan araçtır.
Filebeat,Log dosyalarını okuyarak ElasticSearch’e yönlendiren ajan yazılımıdır.
NLP,Doğal dil işleme; bilgisayarların insan dilini anlamasını sağlar.
Tokenization,Bir metni kelimelere veya alt birimlere ayırma süreci.
Stemming,Kelimenin kök haline indirgenmesi sürecidir.
Lemmatization,Kelimeleri köklerine anlamlı biçimde indirgeme işlemidir.
Bag of Words,Metni kelime sıklığına göre sayısallaştıran yöntemdir.
TF-IDF,Kelimelerin önemini belgeye göre ölçen istatistiksel yöntem.
Word2Vec,Kelimeleri vektörel temsile dönüştüren yapay sinir ağı modelidir.
GloVe,Kelimelerin bağlamsal anlamlarını vektörleştiren modeldir.
Transformer,Doğal dil işleme problemlerinde kullanılan yapay sinir ağı mimarisi.
Attention mechanism,Girişin farklı bölümlerine odaklanarak anlam çıkarmayı sağlayan yapı.
BERT,Google tarafından geliştirilen dil modeli; cümle anlayışı için kullanılır.
GPT,Generative Pre-trained Transformer; dil üretimi için geliştirilen model ailesi.
Token,Yapay zekâda veya NLP'de işlenen metin birimi.
Sequence padding,Farklı uzunluktaki dizileri eşitlemek için yapılan işlem.
Embedding,Kelimeleri sayısal vektörlere dönüştürme işlemi.
Epoch,Yapay sinir ağlarında tüm veri setinin bir kez modele gösterilmesi sürecidir.
Batch size,Modelin her seferde gördüğü örnek sayısıdır.
Loss function,Modelin tahmini ile gerçek sonuç arasındaki farkı ölçen fonksiyondur.
Optimizer,Modelin hatasını azaltmak için ağırlıkları güncelleyen algoritmadır.
Backpropagation,Yapay sinir ağında hatanın katmanlar boyunca geriye iletilmesidir.
Gradient descent,Kayıp fonksiyonunu minimize eden optimizasyon algoritmasıdır.
Overfitting,Modelin eğitim verisine aşırı uyum sağlayarak genelleme kabiliyetini kaybetmesi.
Underfitting,Modelin veriyi yeterince öğrenememesi durumu.
Dropout,Overfitting’i önlemek için rastgele bazı bağlantıların geçici devre dışı bırakılması.
Regularization,Modelin karmaşıklığını sınırlayarak aşırı öğrenmeyi önleme tekniğidir.
Cross-validation,Modeli test etmek için veri setini alt kümelere ayırma yöntemidir.
Train-test split,Veriyi eğitim ve test olarak ikiye ayırma işlemidir.
Confusion matrix,Sınıflandırma modellerinin başarı durumunu gösteren matristir.
Precision,Tahmin edilen olumlu sonuçların ne kadarının doğru olduğunu gösterir.
Recall,Gerçek olumlu örneklerin ne kadarının doğru tahmin edildiğini gösterir.
F1 score,Precision ve recall'un harmonik ortalamasıdır.
ROC curve,Modelin sınıflandırma başarısını gösteren grafiksel analiz aracıdır.
AUC,ROC eğrisinin altında kalan alanı ifade eder; model başarısını gösterir.
Hyperparameter tuning,Modelin dışsal parametrelerini optimize etme süreci.
Grid search,Parametre kombinasyonlarını deneyerek en iyi sonucu bulma yöntemi.
Random search,Rastgele parametre kombinasyonları ile model başarısı arayışı.
Model serialization,Eğitilen modelin dosyaya kaydedilmesi işlemidir.
Pickle,Python nesnelerinin dosyaya kaydedilip tekrar yüklenmesini sağlayan modül.
Joblib,Büyük boyutlu verileri daha hızlı saklamak için kullanılan Python kütüphanesi.
ONNX,Modelleri farklı frameworkler arasında taşıyabilmek için geliştirilen ortak biçim.
TensorFlow,Google tarafından geliştirilen açık kaynaklı derin öğrenme kütüphanesi.
PyTorch,Facebook tarafından geliştirilen popüler derin öğrenme framework’üdür.
Keras,Yüksek seviyeli sinir ağı API’sidir; TensorFlow üzerine kurulmuştur.
Scikit-learn,Python’da makine öğrenimi algoritmalarını barındıran popüler kütüphanedir.
Pandas,Veri analizi ve manipülasyonu için kullanılan Python kütüphanesidir.
Numpy,Sayısal hesaplamalar için kullanılan temel Python kütüphanesidir.
Matplotlib,Python’da grafik çizimi yapmak için kullanılan kütüphanedir.
Seaborn,İstatistiksel veri görselleştirmeleri sağlayan gelişmiş grafik kütüphanesi.
Plotly,Etkileşimli grafikler oluşturmaya yarayan Python kütüphanesidir.
Dataframe,Pandas kütüphanesinde kullanılan iki boyutlu veri yapısıdır.
Series,Pandas’ta tek boyutlu veri dizisidir.
CSV,Verilerin virgülle ayrılmış biçimde tutulduğu dosya formatıdır.
JSON,Veri değişimi için kullanılan- insan tarafından okunabilir biçimdir.
XML,Veriyi hiyerarşik şekilde yapılandırmak için kullanılan biçim.
Parquet,Büyük veri işlemlerinde kullanılan sütun bazlı dosya formatıdır.
Feather,Yüksek hızlı veri okuma/yazma sağlayan dosya biçimidir.
HDF5,Büyük miktarda verinin verimli şekilde saklandığı dosya formatıdır.
Data ingestion,Verilerin sisteme alınması sürecidir.
ETL,Extract-Transform-Load; verinin alınması- dönüştürülmesi ve yüklenmesini ifade eder.
ELT,Extract-Load-Transform; verinin önce yüklenip sonra işlenmesini ifade eder.
Data pipeline,Verinin bir dizi işlemden geçirilerek dönüştürüldüğü sistemdir.
Data warehouse,Büyük verilerin analiz amaçlı toplandığı merkezi veri deposudur.
Data lake,Ham verilerin toplandığı büyük veri havuzudur.
tokenizer.texts_to_sequences,Tokenizer nesnesinin metni sayısal dizilere dönüştürmek için kullandığı fonksiyondur.
model,Makine öğrenmesi veya derin öğrenme algoritması ile eğitilmiş tahmin yapabilen yapıdır.
ön,Yazılımda bir işlemin veya verinin "ön" (önceden) işlenmesi veya hazırlanması anlamında.
yazılım,Bilgisayarlarda çalışan her türlü program ve komutlar bütünüdür.
basit,Genellikle karmaşık olmayan- anlaşılır ve temel yapıdaki kod veya yapılar için kullanılır.
tokenizer.texts_to_sequences,Metni sayısal dizilere dönüştüren Keras Tokenizer metodudur.
ve,Programlamada mantıksal işlemlerde kullanılan bir operatördür (örneğin and).
anahtar,Genellikle “anahtar kelime” (keyword) anlamında-programlama dillerinde özel anlamı olan kelimelerdir.
erişim,Bir değişken ya da fonksiyona erişim iznini belirtir (örnek: public-private).
kontrol,Koşullu ifadeler ve hata yönetimi gibi mantık kontrollerini ifade eder.
hata,Yazılımda istenmeyen veya beklenmeyen davranışları ifade eder.
kullanıcı,Yazılımı kullanan birey veya sistemdir.
terimleri,Belirli bir alanla ilgili teknik sözcüklerdir.
